"Step","Grouped runs - val_loss","Grouped runs - val_loss__MIN","Grouped runs - val_loss__MAX"
"0","0.6732076406478882","0.5441403388977051","0.8290196657180786"
"1","0.6349408149719238","0.5065581202507019","0.7403931617736816"
"2","0.6133885204792022","0.4848972260951996","0.6957904100418091"
"3","0.5934099078178405","0.46677088737487793","0.6680396795272827"
"4","0.5713568568229676","0.4486545920372009","0.6416531205177307"
"5","0.5509484291076661","0.4337915778160095","0.6177511811256409"
"6","0.5308755517005921","0.42483052611351013","0.5918413400650024"
"7","0.5207005441188812","0.4231840670108795","0.5788976550102234"
"8","0.5065726280212403","0.41325098276138306","0.5580169558525085"
"9","0.49155009388923643","0.4031500220298767","0.5405840873718262"
"10","0.48194939494132993","0.396527498960495","0.530672550201416"
"11","0.47307834029197693","0.3915790617465973","0.5205537676811218"
"12","0.46362181901931765","0.3842371702194214","0.5121777653694153"
"13","0.45073301196098325","0.37537118792533875","0.49874356389045715"
"14","0.4433462738990784","0.3703874945640564","0.4890502691268921"
"15","0.43450340032577517","0.36390429735183716","0.47996634244918823"
"16","0.4277473986148834","0.3592807948589325","0.47209233045578003"
"17","0.4203654766082764","0.3531084656715393","0.46314099431037903"
"18","0.41685944199562075","0.3496665060520172","0.45913875102996826"
"19","0.4108144998550415","0.34628725051879883","0.452773779630661"
"20","0.4052706122398376","0.3418940305709839","0.4465881288051605"
"21","0.3999183654785156","0.3390824496746063","0.4415465295314789"
"22","0.39463444948196413","0.33574140071868896","0.4371923804283142"
"23","0.3888053596019745","0.3305629789829254","0.4309592843055725"
"24","0.3839807689189911","0.3277069330215454","0.4252917170524597"
"25","0.3795800805091858","0.32433852553367615","0.42080625891685486"
"26","0.3790782690048218","0.3258064389228821","0.42114245891571045"
"27","0.37696516513824463","0.32733628153800964","0.4188944697380066"
"28","0.3732553720474243","0.3239917457103729","0.41497278213500977"
"29","0.36986762285232544","0.3229719400405884","0.4113805294036865"
"30","0.3639408886432648","0.3175754249095917","0.4067229926586151"
"31","0.3619761824607849","0.3163055181503296","0.4040082097053528"
"32","0.35982903838157654","0.31524306535720825","0.39994892477989197"
"33","0.35799806714057925","0.31254658102989197","0.39684852957725525"
"34","0.35580419898033144","0.3094412088394165","0.3935597538948059"
"35","0.35340107083320615","0.3077186644077301","0.39146310091018677"
"36","0.3502700924873352","0.3060031831264496","0.38860487937927246"
"37","0.3479715704917908","0.30459609627723694","0.38543927669525146"
"38","0.34434030055999754","0.3015196621417999","0.38145309686660767"
"39","0.3410668671131134","0.2988741099834442","0.37876057624816895"
"40","0.34205676317214967","0.2998098134994507","0.3801100552082062"
"41","0.3402429103851318","0.2985466420650482","0.3776642978191376"
"42","0.33818661570549013","0.2965840697288513","0.37604328989982605"
"43","0.3372191250324249","0.29547348618507385","0.37531810998916626"
"44","0.3371493399143219","0.2969544529914856","0.3746647238731384"
"45","0.3349542856216431","0.2955613136291504","0.3709450662136078"
"46","0.33376469016075133","0.2951463758945465","0.3692055642604828"
"47","0.3322973966598511","0.2939572334289551","0.36812135577201843"
"48","0.33160301446914675","0.2930658161640167","0.36802443861961365"
"49","0.3306483030319214","0.29319900274276733","0.365915447473526"
"50","0.3278334021568298","0.29253920912742615","0.36153459548950195"
"51","0.32808247208595276","0.2932995855808258","0.3610721528530121"
"52","0.32591491341590884","0.29141733050346375","0.35842594504356384"
"53","0.3228021800518036","0.28874316811561584","0.3551391363143921"
"54","0.3223291337490082","0.2879338264465332","0.35415416955947876"
"55","0.3199267625808716","0.28597453236579895","0.351408988237381"
"56","0.3182046413421631","0.2843016982078552","0.3502792716026306"
"57","0.3176837205886841","0.28413477540016174","0.34909769892692566"
"58","0.3194474637508392","0.2865537703037262","0.3507194519042969"
"59","0.3170841097831726","0.2850833237171173","0.34888023138046265"
"60","0.3162151098251343","0.28412920236587524","0.3474644124507904"
"61","0.31662718653678895","0.2843691408634186","0.34763920307159424"
"62","0.3149506747722626","0.28229543566703796","0.34573185443878174"
"63","0.3148109376430511","0.28227514028549194","0.3452097177505493"
"64","0.31357855796813966","0.2819184362888336","0.3435977101325989"
"65","0.3127307116985321","0.2811773717403412","0.34206220507621765"
"66","0.31328298449516295","0.2808663249015808","0.34294772148132324"
"67","0.31210394501686095","0.27928394079208374","0.3424209952354431"
"68","0.31154640913009646","0.279718816280365","0.34038046002388"
"69","0.31188459396362306","0.28114035725593567","0.3401927053928375"
"70","0.3110722482204437","0.2809630334377289","0.33929166197776794"
"71","0.309076189994812","0.2804630994796753","0.33772578835487366"
"72","0.30829371213912965","0.2809375822544098","0.3376677632331848"
"73","0.30813608765602113","0.27997687458992004","0.33784133195877075"
"74","0.3073195517063141","0.27829450368881226","0.33719518780708313"
"75","0.3068514704704285","0.276796817779541","0.33591532707214355"
"76","0.3053851842880249","0.2756677269935608","0.3342692255973816"
"77","0.3035799264907837","0.2742142081260681","0.3317365050315857"
"78","0.30271579027175904","0.27325910329818726","0.33023959398269653"
"79","0.3009451150894165","0.27211785316467285","0.32890984416007996"
"80","0.3017995357513428","0.2732090353965759","0.3298379182815552"
"81","0.3010939180850983","0.2724919617176056","0.32913216948509216"
"82","0.3004106044769287","0.2719458043575287","0.3285309076309204"
"83","0.3007772982120514","0.27227121591567993","0.32918065786361694"
"84","0.30160067081451414","0.27314621210098267","0.3298376500606537"
"85","0.302083283662796","0.272836834192276","0.33002233505249023"
"86","0.30274308323860166","0.2731509804725647","0.33081868290901184"
"87","0.3031773865222931","0.2739240229129791","0.33084550499916077"
"88","0.30175397396087644","0.2733592987060547","0.32969412207603455"
"89","0.30031448006629946","0.2724412977695465","0.32851138710975647"
"90","0.29971725344657896","0.2717524468898773","0.3266116678714752"
"91","0.2990449070930481","0.27114367485046387","0.32568883895874023"
"92","0.29817389845848086","0.2708895802497864","0.32491862773895264"
"93","0.29788333773612974","0.2706984579563141","0.3255773186683655"
"94","0.2979670226573944","0.2704989016056061","0.3256598711013794"
"95","0.29795039296150205","0.27041095495224","0.3258310854434967"
"96","0.29799520373344424","0.270967960357666","0.3255062997341156"
"97","0.2974824845790863","0.2707614004611969","0.324167937040329"
"98","0.2976673603057861","0.27101150155067444","0.32438749074935913"
"99","0.29713284969329834","0.2705214023590088","0.32388579845428467"