"Step","Grouped runs - loss","Grouped runs - loss__MIN","Grouped runs - loss__MAX"
"0","1.1134720206260682","0.9935582280158997","1.319986343383789"
"1","0.988563883304596","0.9276491403579712","1.1302227973937988"
"2","0.9629529714584351","0.8658927083015442","1.0985161066055298"
"3","0.9495747089385986","0.8511747717857361","1.0585588216781616"
"4","0.8998472809791564","0.7816598415374756","1.019096851348877"
"5","0.8822286605834961","0.7837299108505249","0.998533308506012"
"6","0.8193240404129029","0.7821087837219238","0.8680662512779236"
"7","0.7955841183662414","0.7336167097091675","0.8759242296218872"
"8","0.773192024230957","0.7041483521461487","0.8336595892906189"
"9","0.7612672567367553","0.692767858505249","0.8252691030502319"
"10","0.7378243684768677","0.6574460864067078","0.8028995990753174"
"11","0.7314554214477539","0.6657993793487549","0.787472128868103"
"12","0.7022351503372193","0.6488808393478394","0.7669796347618103"
"13","0.6652599453926087","0.6011280417442322","0.750234842300415"
"14","0.6763256311416626","0.6010887026786804","0.7530841827392578"
"15","0.6333449006080627","0.5698802471160889","0.6932108998298645"
"16","0.6472264647483825","0.6052752137184143","0.6962366104125977"
"17","0.6249085545539856","0.5646262168884277","0.6756519079208374"
"18","0.604987633228302","0.5434595942497253","0.6555950045585632"
"19","0.6118160605430603","0.5694774389266968","0.6749665141105652"
"20","0.5931028366088867","0.5265436768531799","0.6480326056480408"
"21","0.5859929084777832","0.5232754945755005","0.6416555047035217"
"22","0.5567198872566224","0.5096190571784973","0.5894796252250671"
"23","0.5566838502883911","0.5182704925537109","0.599572479724884"
"24","0.5509781897068023","0.49332258105278015","0.6142204403877258"
"25","0.529630696773529","0.511612594127655","0.5517523884773254"
"26","0.523281580209732","0.47736117243766785","0.5457636117935181"
"27","0.5128004372119903","0.468523770570755","0.5513654351234436"
"28","0.5135956108570099","0.47268417477607727","0.5505754351615906"
"29","0.5054728269577027","0.46498021483421326","0.5394862294197083"
"30","0.4947160303592682","0.47161203622817993","0.5246185660362244"
"31","0.496609628200531","0.4778019189834595","0.5308221578598022"
"32","0.49437700510025023","0.45578059554100037","0.5325634479522705"
"33","0.4919531583786011","0.46879857778549194","0.512424647808075"
"34","0.46551054120063784","0.4516325891017914","0.48421576619148254"
"35","0.4447359681129456","0.4135810434818268","0.47023335099220276"
"36","0.46004011034965514","0.42339545488357544","0.4831705689430237"
"37","0.46552297472953796","0.43830323219299316","0.4888486862182617"
"38","0.44252780079841614","0.4097532629966736","0.4936234652996063"
"39","0.4499299228191376","0.42028409242630005","0.4783758521080017"
"40","0.4416263222694397","0.42433562874794006","0.465636283159256"
"41","0.44721771478652955","0.415657103061676","0.4874230623245239"
"42","0.41733700037002563","0.3957665264606476","0.44494277238845825"
"43","0.4110829830169678","0.3817211091518402","0.4237545430660248"
"44","0.4210136592388153","0.4018891453742981","0.46081241965293884"
"45","0.4164211332798004","0.4068564176559448","0.4415331482887268"
"46","0.40907381772994994","0.38706550002098083","0.42514273524284363"
"47","0.41919623613357543","0.4006396532058716","0.4384174942970276"
"48","0.3863509476184845","0.34780752658843994","0.41704800724983215"
"49","0.4024421453475952","0.39423492550849915","0.4111931622028351"
"50","0.4006843984127045","0.36726269125938416","0.4223359227180481"
"51","0.3716412842273712","0.3514001667499542","0.3998164236545563"
"52","0.39042121171951294","0.37553349137306213","0.4130011200904846"
"53","0.38737966418266295","0.3728290796279907","0.3973434269428253"
"54","0.3782069683074951","0.35979679226875305","0.39914947748184204"
"55","0.36170469522476195","0.32840606570243835","0.39229562878608704"
"56","0.38675124645233155","0.3649648427963257","0.4154822528362274"
"57","0.37153489589691163","0.35777413845062256","0.38234782218933105"
"58","0.34861955642700193","0.3316248059272766","0.3831087350845337"
"59","0.372698974609375","0.3581165373325348","0.39979591965675354"
"60","0.3633424460887909","0.35444435477256775","0.37294599413871765"
"61","0.37311691641807554","0.3589247465133667","0.3943544924259186"
"62","0.36968069672584536","0.34387630224227905","0.38461413979530334"
"63","0.35501282215118407","0.3388453722000122","0.3790852725505829"
"64","0.3370905637741089","0.32304152846336365","0.3541189134120941"
"65","0.3619512915611267","0.35271981358528137","0.3811552822589874"
"66","0.3307922124862671","0.3259619176387787","0.3400784134864807"
"67","0.3424370467662811","0.3297707438468933","0.3628644347190857"
"68","0.3497473239898682","0.33119529485702515","0.36070361733436584"
"69","0.3479327023029327","0.3243634104728699","0.36160025000572205"
"70","0.34211533665657046","0.3170892596244812","0.36875954270362854"
"71","0.33344029188156127","0.302571564912796","0.3701240122318268"
"72","0.3360902309417725","0.32835859060287476","0.3484954237937927"
"73","0.3377568244934082","0.3231072425842285","0.35013145208358765"
"74","0.3334854423999786","0.3212556838989258","0.3538155257701874"
"75","0.317429518699646","0.3103117048740387","0.32230669260025024"
"76","0.3141457557678223","0.30166465044021606","0.33166879415512085"
"77","0.3257008075714111","0.3205479085445404","0.3343938887119293"
"78","0.31419519782066346","0.3007142245769501","0.3311108350753784"
"79","0.3202588438987732","0.3096167743206024","0.3374854326248169"
"80","0.3190277397632599","0.3034559190273285","0.3364132046699524"
"81","0.32623533010482786","0.314931184053421","0.3368963897228241"
"82","0.3110482931137085","0.3079468309879303","0.31616008281707764"
"83","0.31636813282966614","0.3057178556919098","0.33252447843551636"
"84","0.3226439654827118","0.30428555607795715","0.3400264084339142"
"85","0.3095780909061432","0.3041839301586151","0.3137592375278473"
"86","0.30233495235443114","0.2846289277076721","0.3136361837387085"
"87","0.3144763708114624","0.3017761707305908","0.3308485150337219"
"88","0.2930015027523041","0.27160778641700745","0.3103426694869995"
"89","0.3011844098567963","0.28839123249053955","0.3048645257949829"
"90","0.3100706279277802","0.286279559135437","0.33599209785461426"
"91","0.29078460931777955","0.27687788009643555","0.3023792505264282"
"92","0.289339280128479","0.27537810802459717","0.30030059814453125"
"93","0.29817323088645936","0.28434520959854126","0.3068118393421173"
"94","0.2984032273292542","0.28290238976478577","0.3104024827480316"
"95","0.2885069489479065","0.2803015410900116","0.2946794629096985"
"96","0.29057464599609373","0.281112939119339","0.2943909168243408"
"97","0.27821608185768126","0.26577046513557434","0.29288241267204285"
"98","0.2947766542434692","0.2798967659473419","0.30754297971725464"
"99","0.29124181270599364","0.28062525391578674","0.2998202443122864"